symbol,atomic_mass,atomic_number,name
H,1.008000,1,Hydrogen
He,4.002602,2,Helium
Li,6.940000,3,Lithium
Be,9.012183,4,Beryllium
B,10.810000,5,Boron
C,12.011000,6,Carbon
N,14.007000,7,Nitrogen
O,15.999000,8,Oxygen
F,18.998403,9,Fluorine
Ne,20.179760,10,Neon
Na,22.989769,11,Sodium
Mg,24.305000,12,Magnesium
Al,26.981539,13,Aluminium
Si,28.085000,14,Silicon
P,30.973762,15,Phosphorus
S,32.060000,16,Sulfur
Cl,35.450000,17,Chlorine
Ar,39.948100,18,Argon
K,39.098310,19,Potassium
Ca,40.078400,20,Calcium
Sc,44.955908,21,Scandium
Ti,47.867100,22,Titanium
V,50.941510,23,Vanadium
Cr,51.996160,24,Chromium
Mn,54.938044,25,Manganese
Fe,55.845200,26,Iron
Co,58.933194,27,Cobalt
Ni,58.693440,28,Nickel
Cu,63.546300,29,Copper
Zn,65.382000,30,Zinc
Ga,69.723100,31,Gallium
Ge,72.630800,32,Germanium
As,74.921596,33,Arsenic
Se,78.971800,34,Selenium
Br,79.904000,35,Bromine
Kr,83.798200,36,Krypton
Rb,85.467830,37,Rubidium
Sr,87.621000,38,Strontium
Y,88.905842,39,Yttrium
Zr,91.224200,40,Zirconium
Nb,92.906372,41,Niobium
Mo,95.951000,42,Molybdenum
Tc,98.000000,43,Technetium
Ru,101.072000,44,Ruthenium
Rh,102.905502,45,Rhodium
Pd,106.421000,46,Palladium
Ag,107.868220,47,Silver
Cd,112.414400,48,Cadmium
In,114.818100,49,Indium
Sn,118.710700,50,Tin
Sb,121.760100,51,Antimony
Te,127.603000,52,Tellurium
I,126.904473,53,Iodine
Xe,131.293600,54,Xenon
Cs,132.905452,55,Cesium
Ba,137.327700,56,Barium
La,138.905477,57,Lanthanum
Ce,140.116100,58,Cerium
Pr,140.907662,59,Praseodymium
Nd,144.242300,60,Neodymium
Pm,145.000000,61,Promethium
Sm,150.362000,62,Samarium
Eu,151.964100,63,Europium
Gd,157.253000,64,Gadolinium
Tb,158.925352,65,Terbium
Dy,162.500100,66,Dysprosium
Ho,164.930332,67,Holmium
Er,167.259300,68,Erbium
Tm,168.934222,69,Thulium
Yb,173.045100,70,Ytterbium
Lu,174.966810,71,Lutetium
Hf,178.492000,72,Hafnium
Ta,180.947882,73,Tantalum
W,183.841000,74,Tungsten
Re,186.207100,75,Rhenium
Os,190.233000,76,Osmium
Ir,192.217300,77,Iridium
Pt,195.084900,78,Platinum
Au,196.966569,79,Gold
Hg,200.592300,80,Mercury
Tl,204.380000,81,Thallium
Pb,207.210000,82,Lead
Bi,208.980401,83,Bismuth
Po,209.000000,84,Polonium
At,210.000000,85,Astatine
Rn,222.000000,86,Radon
Fr,223.000000,87,Francium
Ra,226.000000,88,Radium
Ac,227.000000,89,Actinium
Th,232.037740,90,Thorium
Pa,231.035882,91,Protactinium
U,238.028913,92,Uranium
Np,237.000000,93,Neptunium
Pu,244.000000,94,Plutonium
Am,243.000000,95,Americium
Cm,247.000000,96,Curium
Bk,247.000000,97,Berkelium
Cf,251.000000,98,Californium
Es,252.000000,99,Einsteinium
Fm,257.000000,100,Fermium
Md,258.000000,101,Mendelevium
No,259.000000,102,Nobelium
Lr,266.000000,103,Lawrencium
Rf,267.000000,104,Rutherfordium
Db,268.000000,105,Dubnium
Sg,269.000000,106,Seaborgium
Bh,270.000000,107,Bohrium
Hs,269.000000,108,Hassium
Mt,278.000000,109,Meitnerium
Ds,281.000000,110,Darmstadtium
Rg,282.000000,111,Roentgenium
Cn,285.000000,112,Copernicium
